aifi_cell_type,timepoint,n_treat,bor,len,dex,n_genes,genes,top_genes,ypos
t_cd4_cm,24,2,dn,nc,dn,76,ABLIM1;AC008875.3;AC073342.1;AC092821.3;ACVR1;ACVR1C;AL589693.1;ANK3;ARHGAP4;ATM;B2M;BHLHE40;CCDC141;CCND2;CD2;CD3E;CD3G;CD40LG;CD48;CDK6;CHRM3-AS2;CYLD;ECE1;EEF1B2;EPHA4;EPSTI1;FAM13A;FOS;FOXN3;GBP2;GPR155;GPR183;GSTK1;HNRNPF;ICAM2;IQSEC1;ITGAL;JUNB;LINC00861;LSP1;MACF1;MAN1C1;MCL1;MLLT3;MT-CO3;NIN;NSMCE1-DT;P2RY8;PDE4B;PDE4D;PGAP1;PLCL2;PPP2R5C;PRKACB;PSMB9;PTPRC;RBL2;RNASET2;RNF145;RPL13A;RPS2;RPS6KA5;RPS8;SEPTIN9;SLC39A10;SLFN12L;SLFN5;SNTB1;SOS1;SP110;ST8SIA6;STAT1;TMSB10;TNFSF10;TOMM40;ZNF217,SOS1;GSTK1;LINC00861,18
t_cd4_cm,24,2,nc,dn,dn,61,AC027097.2;ANKRD11;ANXA1;ARHGAP30;C18orf25;CALM1;CAPN2;CARS;CD44;CFL1;CLIP1;CMTM6;EIF4G3;ENO1;EPC1;ETNK1;FAM107B;FOXO1;FRY;GARS;IARS;IGSF9B;KIF16B;LIMD2;LINC02328;LTA;LTB;MRPL1;MYO1F;OST4;PDK1;PFN1;PHACTR2;PIEZO1;PIM1;PPDPF;PPFIBP2;PRKCH;PSAT1;RPL10;RPL10A;RPL14;RPL41;RPL6;RPLP1;S100A4;SH3KBP1;SLC38A2;SLC7A1;ST8SIA1;STAT5B;STK38;SYTL1;TAF1B;TAP1;TBL1X;TGFB1;TNFRSF18;TPT1;TUBA1A;VCL,LTB;ANXA1;CD44,17
t_cd4_cm,24,2,dn,dn,nc,54,ABCA3;AC007038.1;ACAP1;AK5;AKNA;AL162253.2;ARHGDIB;ARID1B;ARL4C;ATRAID;CAD;CASK;CDC42;CORO2A;CYBA;CYFIP2;DCXR;DOCK3;DUSP5;ENOSF1;ESR1;FOXN2;GSPT1;HDAC4;ISG20;ITGA6;ITGB1-DT;KAT2B;LCP2;LINC01934;MHENCR;MT-ND4;MYADM;NMT2;PCCA;PCED1B;PPP3CA;PTGER2;RCN2;RDH13;RPL12;RPS6;SCML4;SHISA5;SLC39A6;ST8SIA4;STK17B;STK39;TMC6;TNRC6C-AS1;U2AF1;WDR27;ZMYM2;ZNF25,LINC01934;STK17B;PPP3CA,16
t_cd4_cm,24,2,nc,up,up,53,AC093535.1;AC104170.1;ADD1;ADPRM;AHR;AP000787.1;CEMIP2;CREB3L2;DNAJB9;DST;ELK3;ERN1;FAM241A;GCA;GPHN;GPR132;GRAMD2B;HACE1;HIST1H2BD;IL6ST;IPCEF1;KCNK6;KHNYN;LARP1B;LEF1-AS1;LINC00243;LRRC8C;MBNL1-AS1;MFN1;MICAL2;MIR29B2CHG;MIS12;MSI2;PARP8;PKP4;PRDM1;PRKCE;PSEN1;PTTG1IP;SCLY;SLAMF6;SLC44A1;SLC4A7;SOGA3;STAG2;TAF4B;TNFRSF10D;UGCG;VPS4B;WAKMAR2;WASHC4;Z93930.2;ZMYND8,CEMIP2;MSI2;UGCG;IL6ST,15
t_cd4_cm,24,3,dn,dn,dn,36,AC079793.1;AC092652.2;ACTB;AHNAK;AL133268.4;ARHGAP15;ARHGEF3;CORO1A;DZIP3;EEF1A1;GNG2;HAPLN3;IL10RA;IL32;IVD;LAT;MAP3K1;MAP3K5;MT-ATP6;MT-CO1;MT-CO2;MT-ND5;PSME1;RAP1GAP2;RNF144A;RPL3;RPS24;S100A6;SEPTIN6;SKAP1;TGFBR1;TMSB4X;TNFRSF1B;TRBC2;VIM;YARS,ARHGAP15;ACTB;AC079793.1,14
t_cd4_cm,24,2,dn,nc,up,33,ADGRE5;ARID5B;CAMK1D;CAMK2D;CD47;CD69;CELF2;CHD7;CSGALNACT1;CYTIP;DPP4;FBXL8;GPR171;HMGB1;IL18R1;IQGAP2;LDLRAD4;LEF1;LINC-PINT;MBNL1;MTSS1;NFIA;RFTN1;RHOH;RIPOR2;SESN3;SLA;SPG11;TAB2;TNIK;TOX;ZFP36L2;ZNF80,LDLRAD4;GPR171;ARID5B;CD69,13
t_cd4_cm,24,2,up,up,nc,33,AC097376.3;ADHFE1;AKAP9;ARHGAP31;BICD1;BTRC;CHROMR;CISD1;CSNK1A1;CSPP1;DENND4C;FAM111A-DT;FARS2;FASTKD2;FERMT3;IFRD1;MAP4K3;MIR4435-2HG;NF1;PIBF1;RP2;RREB1;SEC24D;SLC2A3;SPART;TBC1D19;TBC1D22A;TFDP2;TMEM62;TMEM87A;TXN;WDR19;ZFAND5,NF1;DENND4C;TBC1D22A,12
t_cd4_cm,24,2,up,nc,up,28,AL513188.1;ATP2C1;BLMH;CASS4;CD84;CDKAL1;CDYL2;COP1;DENND5A;DYNC1LI1;E2F3;FAM219A;GBF1;LMBR1;MAST4;PANK3;PBX4;PHTF1;PPM1L;PSMD12;SLC25A26;SNHG32;SNX9;SP1;SRGN;THUMPD3-AS1;UBE2J2;UFD1,MAST4;SRGN;FAM219A,11
t_cd4_cm,24,2,nc,up,dn,21,AC245297.3;ALPK1;APOL3;AQP3;CCM2;CD74;CDC42SE2;DHRS3;HLA-C;ICOS;IGF1R;IL15;KLHL3;LINC01943;PCED1B-AS1;PHF21A;RASA2;TESPA1;TNF;TRANK1;ZNF267,CDC42SE2;CCM2;ICOS;CD74,10
t_cd4_cm,24,3,dn,dn,up,21,AC139720.1;ARRDC3-AS1;BCL2;BTG1;CHST11;CXCR4;ETS1;FKBP5;IL2RA;LINC01619;MYL12A;MYL12B;PDE3B;PRKCQ-AS1;RCSD1;RMI2;SAMHD1;SOCS1;TRAT1;TXK;VAV3,FKBP5;CXCR4;ETS1;IL2RA,9
t_cd4_cm,24,2,nc,dn,up,20,AP001977.1;ARRB2;CASP8;CDC14A;IL7R;KANK1;KIF13B;MYB;NAP1L4;NCOR1;PATJ;PPARA;RASGRP2;SFMBT1;SNX14;STX2;SUCLG2;UBE2Q2;UPP1;ZMYND11,IL7R;NAP1L4;CASP8,8
t_cd4_cm,24,2,dn,up,nc,19,APOLD1;ARL6IP5;ATP8A1;BCL11B;EEF2K;EZH2;GIMAP4;H1FX;HLA-F;IKZF3;IRF4;LBH;LEPROTL1;LRCH1;P4HB;PCNX2;PDCD4;SLAMF1;TTC3,BCL11B;ARL6IP5;EZH2;SLAMF1,7
t_cd4_cm,24,2,up,nc,dn,19,AC024084.1;CCT3;DNAJA1;GBP3;HINT1;LPXN;LY96;MIAT;NAPG;NFE2L2;OLA1;PARP14;PKM;POU2F2;PRH1;PSMA5;TBCA;UBB;VMP1,VMP1;LPXN;PRH1,6
t_cd4_cm,24,2,up,dn,nc,17,ANXA2;BIRC6;CWC27;ECPAS;FTL;GAB2;GAPDH;KCMF1;LBR;LINC00963;LRP8;PPP3CC;PSMA1;PSMA7;SNX10;UBR4;VWA8,ECPAS;ANXA2;PSMA7,5
t_cd4_cm,24,3,dn,up,dn,15,CEACAM1;CLEC2D;DPYD;EVI2A;FYB1;GBP4;HLA-E;INPP4B;LPP;MYBL1;PTPN22;STAT4;TIMP1;TNFRSF4;TRAF3IP3,LPP;CLEC2D;PTPN22;TNFRSF4,4
t_cd4_cm,24,3,dn,up,up,12,DGKH;DISC1;GABPB1-AS1;IKZF1;ITK;OXNAD1;SOCS2-AS1;TNFSF8;TTC39C;TXNIP;XBP1;ZFP36L1,TXNIP;IKZF1;OXNAD1,3
t_cd4_cm,24,3,up,dn,dn,7,FLNA;HSP90AA1;HSP90AB1;HSPA8;LIME1;SLC3A2;SLCO3A1,SLCO3A1;HSP90AA1;HSP90AB1,2
t_cd4_cm,24,3,up,up,up,5,GOLGB1;NEAT1;RB1CC1;TBC1D15;TSPYL2,NEAT1;GOLGB1;RB1CC1,1
